全国地方公共団体コード,都道府県,市区町村,収録状況,障害者_要介護度の下限,障害者_認知症度の下限,障害者_寝たきり度の下限,特別障害者_要介護度の下限,特別障害者_認知症度の下限,特別障害者_寝たきり度の下限,根拠（例規名など）,公布日,最終改正日,出典URL,データ読み取り日
053481,秋田県,三種町,読めた,,,A1,,Ⅲa,,三種町老齢者の障害者控除対象者認定に関する規程,2006-03-20,2021-11-25,https://www1.g-reiki.net/town.mitane/reiki_honbun/r240RG00000152.html,2026-08-27
053619,秋田県,五城目町,読めた,,Ⅱa,A1,,Ⅲa,,五城目町高齢者に係る障害者控除対象者認定事務取扱要綱,2002-11-29,2007-12-25,https://www1.g-reiki.net/town.gojome.akita/reiki_honbun/c326RG00000297.html,2026-08-27
054348,秋田県,美郷町,読めた,,Ⅱa,A1,,Ⅳ,,美郷町障害者控除対象者認定書交付に関する要綱,2007-11-28,2019-05-01,https://www1.g-reiki.net/town.misato.akita/reiki_honbun/r409RG00000576.html,2026-08-27
062065,山形県,寒河江市,基準表が本文に無い,,,,,,,寒河江市福祉事務所長委任規則,1973-08-29,2024-03-29,https://en3-jg.d1-law.com/sagae/d1w_reiki/H348902100010/H348902100010_j.html,2026-08-27
063029,山形県,中山町,基準表が本文に無い,,,,,,,中山町障害者控除対象者認定要綱,2016-09-26,2017-08-22,https://www.town.nakayama.yamagata.jp/section/reiki/reiki_honbun/c416RG00000888.html,2026-08-27
063223,山形県,西川町,読めた(別表から),要介護1,,,,,,西川町要介護認定者の障害者控除対象者認定に関する要綱,2010-01-01,2010-01-01,https://www1.g-reiki.net/town.nishikawa.yamagata/reiki_honbun/c418RG00000577.html,2026-08-27
063631,山形県,舟形町,読めた,,Ⅱb,,,M,,舟形町障害者控除対象者認定に関する規則,2007-12-14,2007-12-14,https://www1.g-reiki.net/funagata/reiki_honbun/x200RG00000692.html,2026-08-27
063819,山形県,高畠町,読めた,,Ⅱa,A1,,Ⅳ,C1,高畠町要介護認定者等の障害者控除対象者認定書交付規程,2024-12-11,2024-12-11,https://www.town.takahata.yamagata.jp/reiki/H506902500230/H506902500230_j.html,2026-08-27
072010,福島県,福島市,基準表が本文に無い,,,,,,,福島市行政組織規則,2003-03-28,2026-03-31,https://en3-jg.d1-law.com/fukushima/d1w_reiki/H415902100012/H415902100012_j.html,2026-08-27
072036,福島県,郡山市,基準表が本文に無い,,,,,,,郡山市福祉事務所設置条例施行規則,1989-09-11,2026-03-25,https://www1.g-reiki.net/koriyama/reiki_honbun/c504RG00000241.html,2026-08-27
