全国地方公共団体コード,都道府県,市区町村,収録状況,障害者_要介護度の下限,障害者_認知症度の下限,障害者_寝たきり度の下限,特別障害者_要介護度の下限,特別障害者_認知症度の下限,特別障害者_寝たきり度の下限,根拠（例規名など）,公布日,最終改正日,出典URL,データ読み取り日
162116,富山県,射水市,読めた(本文の文章から),要介護1,Ⅱa,A2,,,,射水市障害者控除対象者認定事務取扱要綱,2007-09-10,2020-12-28,https://www1.g-reiki.net/imizu/reiki_honbun/r311RG00000866.html,2026-08-27
163210,富山県,舟橋村,読めた(本文の文章から),,Ⅱa,B1,,,,舟橋村障害者控除対象者認定要綱,2008-02-01,2008-02-01,https://public2.legalcrud.com/funahashi_vill/reiki/act/110000210.html,2026-08-27
163236,富山県,立山町,読めた(本文の文章から),,Ⅱa,B1,,,,立山町障害者控除対象者認定事務取扱要綱,2011-12-20,2011-12-20,https://www1.g-reiki.net/tateyama/reiki_honbun/i015RG00000644.html,2026-08-27
163422,富山県,入善町,読めた(本文の文章から),,Ⅱa,B1,,,,入善町障害者控除対象者認定要綱,2007-12-14,2016-03-03,https://www1.g-reiki.net/nyuzen/reiki_honbun/i017RG00000521.html,2026-08-27
163431,富山県,朝日町,読めた(本文の文章から),,Ⅱa,B1,,,,朝日町障害者控除対象者認定要綱,2008-02-01,2020-01-31,https://www1.g-reiki.net/asahi.toyama/reiki_honbun/i018RG00000476.html,2026-08-27
172090,石川県,かほく市,読めた,,Ⅱa,A1,,,B1,かほく市要介護認定者等に係る障害者控除対象者認定取扱要綱,2007-12-27,2018-12-14,https://www1.g-reiki.net/kahoku/reiki_honbun/r020RG00000715.html,2026-08-27
173240,石川県,川北町,読めた(本文の文章から),,Ⅰ,,,,B1,川北町介護保険要介護等被保険者に係る所得税法及び地方税法上の障害者控除対象者認定取扱要綱,2007-10-01,2021-10-01,https://www1.g-reiki.net/kawakita/reiki_honbun/i114RG00000334.html,2026-08-27
173614,石川県,津幡町,読めた,,Ⅱa,A1,,,B1,津幡町障害者控除対象者認定書交付に関する要綱,2007-12-17,2016-03-28,https://www1.g-reiki.net/tsubata/reiki_honbun/i123RG00000815.html,2026-08-27
173657,石川県,内灘町,読めた,,Ⅱa,A1,,,B1,内灘町要介護認定者等に係る障害者控除対象者認定取扱要綱,2013-11-27,2024-12-25,https://www1.g-reiki.net/uchinada/reiki_honbun/i127RG00000718.html,2026-08-27
173860,石川県,宝達志水町,読めた,,Ⅱa,A1,,,B1,宝達志水町障害者控除対象者の認定取扱要綱,2013-01-18,2016-04-01,https://www1.g-reiki.net/hodatsushimizu/reiki_honbun/r286RG00000613.html,2026-08-27
174076,石川県,中能登町,読めた(別表から),要支援1,,,,,,中能登町地域生活支援事業実施要綱,2015-04-01,2025-03-21,https://www1.g-reiki.net/nakanoto/reiki_honbun/r135RG00000669.html,2026-08-27
182109,福井県,坂井市,読めた,,Ⅱa,A1,,Ⅲa,,介護保険における要介護認定者の所得税法及び地方税法上の障害認定基準取扱要領,2006-12-26,2023-11-01,https://www1.g-reiki.net/sakai-city/reiki_honbun/r367RG00000777.html,2026-08-27
184047,福井県,南越前町,読めた,,,A1,,,B1,南越前町障害者控除対象者認定書交付に関する要綱,2008-11-01,2016-03-28,https://www1.g-reiki.net/town.minamiechizen/reiki_honbun/r196RG00000551.html,2026-08-27
192023,山梨県,富士吉田市,読めた,,Ⅲa,B1,,Ⅳ,,富士吉田市介護保険要介護認定者等に係る障害者控除対象者認定要綱,2022-03-31,2022-03-31,https://www1.g-reiki.net/fujiyoshida/reiki_honbun/e603RG00001064.html,2026-08-27
192040,山梨県,都留市,読めた,,Ⅱa,B1,,Ⅳ,,都留市障害者控除対象者認定書交付規程,2010-03-26,2021-12-27,https://www1.g-reiki.net/city.tsuru.yamanashi/reiki_honbun/e605RG00000539.html,2026-08-27
192091,山梨県,北杜市,読めた,,Ⅱb,A1,,Ⅲb,,北杜市障害者控除対象者認定事務取扱要綱,2008-02-18,2022-02-18,https://www1.g-reiki.net/city.hokuto.yamanashi/reiki_honbun/r112RG00001032.html,2026-08-27
192121,山梨県,上野原市,読めた,要介護4,Ⅲa,A1,要介護4,Ⅳ,,上野原市高齢者に係る障害者控除対象者認定事務取扱要綱,2013-03-06,2022-09-30,https://www1.g-reiki.net/uenohara/reiki_honbun/r175RG00000913.html,2026-08-27
193666,山梨県,南部町,読めた(別表から),,,J1,,,,南部町障害者控除対象者認定書交付要綱,2015-04-01,2015-04-01,https://www.town.nanbu.yamanashi.jp/reiki_int/reiki_honbun/e632RG00000591.html,2026-08-27
193682,山梨県,富士川町,読めた,,Ⅱa,A1,,Ⅲa,,富士川町要介護認定者に係る障害者控除対象者認定要綱,2012-03-27,2016-03-31,https://www.town.fujikawa.yamanashi.jp/reiki/reiki_int/reiki_honbun/r388RG00000560.html,2026-08-27
194221,山梨県,道志村,読めた,,Ⅲa,B1,,Ⅳ,,道志村介護保険要介護認定者等に係る障害者控除対象者認定要綱,2024-02-26,2024-02-26,https://www1.g-reiki.net/doshi/reiki_honbun/e655RG00000671.html,2026-08-27
194298,山梨県,鳴沢村,読めた,,Ⅱa,A1,,Ⅲa,,鳴沢村要介護認定者に係る障害者控除対象者認定要綱,2018-01-10,2022-03-18,https://www1.g-reiki.net/vill.narusawa/reiki_honbun/e662RG00000486.html,2026-08-27
202088,長野県,小諸市,基準表が本文に無い,,,,,,,小諸市公印規則,1970-08-01,2026-02-27,https://www1.g-reiki.net/komoro/reiki_honbun/e709RG00000070.html,2026-08-27
202207,長野県,安曇野市,基準表が本文に無い,,,,,,,安曇野市障害者控除対象者の認定に関する要綱,2007-11-19,2023-07-31,https://www.city.azumino.nagano.jp/reiki/d1w_reiki/H419902500227/H419902500227_j.html,2026-08-27
203041,長野県,川上村,読めた,,Ⅱa,A1,,Ⅳ,,川上村障害者控除対象者認定に関する要綱,2007-12-20,2016-03-17,https://en3-jg.d1-law.com/kawakami/d1w_reiki/H419902600026/H419902600026_j.html,2026-08-27
203068,長野県,南相木村,読めた,,Ⅱa,A1,,,B1,南相木村障害者控除対象者認定に関する取扱要綱,2023-08-25,2023-08-25,https://en3-jg.d1-law.com/minamiaiki/d1w_reiki/H505902600021/H505902600021_j.html,2026-08-27
203238,長野県,御代田町,読めた,,Ⅱa,A1,,Ⅲb,,御代田町老齢者の障害者控除対象者認定要綱,2007-12-17,2024-03-15,https://www1.g-reiki.net/town.miyota.nagano/reiki_honbun/e729RG00000449.html,2026-08-27
203505,長野県,長和町,読めた,,Ⅲb,,,M,,長和町障害者控除対象者認定に関する要綱,2007-12-15,2007-12-15,https://en3-jg.d1-law.com/nagawa/d1w_reiki/H419902500029/H419902500029_j.html,2026-08-27
204811,長野県,池田町,読めた,,Ⅱa,A1,,,B1,池田町障害者控除対象者認定に関する要綱,2008-01-25,2022-03-17,https://en3-jg.d1-law.com/ikeda-town/d1w_reiki/H420902500002/H420902500002_j.html,2026-08-27
204820,長野県,松川村,読めた,要介護1,Ⅱa,A1,要介護3,Ⅲa,,松川村障害者控除対象者認定要綱,2008-02-01,2024-03-22,https://www1.g-reiki.net/vill-matsukawa/reiki_honbun/e797RG00000557.html,2026-08-27
204854,長野県,白馬村,読めた,,Ⅱa,A1,,Ⅲa,B1,白馬村障害者控除対象者の認定に関する要綱,2008-01-10,2024-01-22,https://www1.g-reiki.net/vill.hakuba/reiki_honbun/e799RG00000422.html,2026-08-27
204862,長野県,小谷村,読めた,,Ⅱa,A1,,Ⅲa,B1,小谷村障がい者控除対象者認定に関する要綱,2007-12-27,2016-03-31,https://www1.g-reiki.net/vill.otari/reiki_honbun/e801RG00000402.html,2026-08-27
205613,長野県,山ノ内町,読めた(本文の文章から),,,,,,B1,障害者控除対象者認定書の交付要綱,2002-11-01,2002-11-01,https://www1.g-reiki.net/town.yamanouchi.nagano/reiki_honbun/e808RG00000506.html,2026-08-27
205621,長野県,木島平村,基準表が本文に無い,,,,,,,要介護認定者に対する障害者控除対象者認定書交付要綱,2002-03-15,2013-11-14,https://www.vill.kijimadaira.lg.jp/d1w_reiki/H414902200011/H414902200011_j.html,2026-08-27
212083,岐阜県,瑞浪市,基準表が本文に無い,,,,,,,証明書等発行時の本人確認等の取扱いに関する事務処理要領,2006-02-01,2024-11-21,https://en3-jg.d1-law.com/mizunami/d1w_reiki/H418902200001/H418902200001_j.html,2026-08-27
212148,岐阜県,可児市,基準表が本文に無い,,,,,,,可児市窓口における各種証明書等の交付事務に係る本人確認実施要綱,2006-11-01,2023-04-01,https://www1.g-reiki.net/kani/reiki_honbun/b700RG00000881.html,2026-08-27
212156,岐阜県,山県市,読めた,,Ⅱa,A1,,Ⅳ,B1,山県市障害者控除対象者認定書の交付に関する基準,2019-03-29,2024-11-27,https://www.city.yamagata.gifu.jp/reiki/reiki_honbun/r006RG00001164.html,2026-08-27
212164,岐阜県,瑞穂市,読めた(本文の文章から),,Ⅱa,A1,,,,瑞穂市高齢者の所得税及び地方税に係る障害者控除対象者認定要綱,2019-08-02,2022-02-16,https://www.city.mizuho.lg.jp/reiki_int/reiki_honbun/r011RG00000949.html,2026-08-27
212181,岐阜県,本巣市,読めた,,Ⅱa,A1,,M,B1,本巣市障害者控除対象者認定交付要綱,2024-07-12,2024-12-26,https://www1.g-reiki.net/city.motosu/reiki_honbun/r016RG00001176.html,2026-08-27
213829,岐阜県,輪之内町,読めた(別表から),,,,,,C1,輪之内町障害者控除対象者認定書交付要綱,2014-12-18,2022-03-07,https://www1.g-reiki.net/wanouchi/reiki_honbun/i328RG00000706.html,2026-08-27
215058,岐阜県,八百津町,基準表が本文に無い,,,,,,,八百津町窓口における各種証明書等の交付事務に係る本人確認実施要綱,2007-12-17,2025-12-26,https://www.town.yaotsu.lg.jp/reiki_int/reiki_honbun/i365RG00000083.html,2026-08-27
216046,岐阜県,白川村,読めた(本文の文章から),,,,要介護1,Ⅲa,A2,白川村高齢者に対する障害者控除対象者認定書交付要綱,2009-12-24,2024-06-14,https://www1.g-reiki.net/shirakawa-go/reiki_honbun/i390RG00000517.html,2026-08-27
221007,静岡県,静岡市,判定ランクを公表していない,,,,,,,,,,https://www.city.shizuoka.lg.jp/s2837/s002787.html,2026-08-27
221309,静岡県,浜松市,判定ランクを公表していない,,,,,,,,,,https://www.city.hamamatsu.shizuoka.jp/kourei/welfare/elderly/zaitaku/yuuguu.html,2026-08-27
222038,静岡県,沼津市,読めた(表),要介護3,,B1,,,,,,,https://www.city.numazu.shizuoka.jp/kurashi/fukushi/kaigo/shimin/shogaikojyo.htm,2026-08-27
222097,静岡県,島田市,基準表が本文に無い,,,,,,,島田市公印及び電子署名カードに関する規則,2005-05-05,2026-03-10,https://www1.g-reiki.net/city.shimada/reiki_honbun/r303RG00000042.html,2026-08-27
222216,静岡県,湖西市,読めた(本文の文章から),要介護2,,A1,,,,湖西市障害者控除対象者認定に関する要綱,2008-12-01,2020-06-05,https://www.city.kosai.shizuoka.jp/section/reiki/reiki_honbun/g322RG00000738.html,2026-08-27
222241,静岡県,菊川市,読めた,,Ⅱa,A1,,Ⅳ,B1,菊川市高齢者の障害者控除対象者認定に関する要綱,2020-12-16,2024-11-25,https://www1.g-reiki.net/city.kikugawa/reiki_honbun/r398RG00001371.html,2026-08-27
223255,静岡県,函南町,基準表が本文に無い,,,,,,,函南町公印規程,1958-08-11,2026-03-27,https://www1.g-reiki.net/town.kannami.shizuoka/reiki_honbun/x800RG00000053.html,2026-08-27
224294,静岡県,川根本町,読めた(本文の文章から),,,,,Ⅰ,J1,川根本町介護保険要介護認定者に対する障害者控除対象者に準ずる認定に関する要綱,2007-02-14,2019-02-25,http://www.town.kawanehon.shizuoka.jp/section/reiki_int/reiki_honbun/r225RG00000622.html,2026-08-27
224618,静岡県,森町,読めた,,Ⅱa,A1,,Ⅳ,,森町障害者控除対象者認定に関する要綱,2021-12-21,2021-12-21,https://en3-jg.d1-law.com/mori/d1w_reiki/H503902500159/H503902500159_j.html,2026-08-27
231002,愛知県,名古屋市,基準が読み取れない,,,,,,,,,,https://www.city.nagoya.jp/kenkofukushi/page/0000167338.html,2026-08-27
232262,愛知県,尾張旭市,読めた,要支援2,Ⅱa,A1,要介護4,Ⅳ,B1,尾張旭市要介護認定者等に係る障害者控除対象者認定要綱,2016-12-21,2023-08-01,https://www1.g-reiki.net/owariasahi.city/reiki_honbun/i528RG00001166.html,2026-08-27
232297,愛知県,豊明市,読めた(本文の文章から),要介護1,Ⅱa,A1,要介護4,Ⅳ,A1,障害者控除対象者認定に関する取扱要領,2002-08-05,2002-08-05,https://www1.g-reiki.net/toyoake/reiki_honbun/i531RG00000719.html,2026-08-27
234273,愛知県,飛島村,読めた(別表から),,,,要介護1,,,飛島村要介護認定高齢者に係る障害者控除対象者認定書交付事務処理要領,2009-03-31,2017-12-22,https://www1.g-reiki.net/tobishima/reiki_honbun/l900RG00000407.html,2026-08-27
242071,三重県,鈴鹿市,読めた,,Ⅱa,A1,,,B1,鈴鹿市障害者控除対象者認定に関する要綱,2007-12-27,2023-03-31,https://en3-jg.d1-law.com/suzuka/d1w_reiki/H419902200021/H419902200021_j.html,2026-08-27
242080,三重県,名張市,読めた,,Ⅱa,A1,,Ⅳ,B1,名張市要介護認定者等に対する障害者控除対象者の認定に関する要綱,2007-02-20,2022-01-11,https://en3-jg.d1-law.com/nabari/d1w_reiki/H419902500027/H419902500027_j.html,2026-08-27
242144,三重県,いなべ市,読めた(本文の文章から),,Ⅲa,A1,,Ⅳ,B1,いなべ市高齢者に係る所得税及び地方税上の障害者控除対象者認定事務取扱規則,2016-02-22,2016-02-22,https://www2.city.inabe.mie.jp/reiki/reiki_honbun/r031RG00000957.html,2026-08-27
242152,三重県,志摩市,読めた(本文の文章から),,Ⅱa,A1,,Ⅲb,A1,志摩市障害者控除対象者認定事務の処理に関する要綱,2004-12-08,2016-03-30,https://www1.g-reiki.net/city.shima.mie/reiki_honbun/r063RG00000666.html,2026-08-27
242161,三重県,伊賀市,表が読めない,,,,,,,要介護認定者に対する障害者控除対象者の認定に関する要綱,2004-11-01,2021-04-01,https://en3-jg.d1-law.com/iga/d1w_reiki/H416902500062/H416902500062_j.html,2026-08-27
245437,三重県,紀北町,基準表が本文に無い,,,,,,,紀北町要介護認定者等に対する障害者控除対象者認定書取扱要領,2005-10-11,2005-10-11,https://en3-jg.d1-law.com/kihoku/d1w_reiki/H417902500023/H417902500023_j.html,2026-08-27
252026,滋賀県,彦根市,読めた,要支援1,Ⅱa,,,Ⅳ,B1,彦根市障害者控除対象者認定実施要綱,2012-06-19,2022-12-28,https://www.city.hikone.lg.jp/section/reiki_int/act/110001538.html,2026-08-27
252034,滋賀県,長浜市,基準表が本文に無い,,,,,,,長浜市障害者控除対象者認定書交付事務の処理に関する要綱,2006-02-13,2016-04-01,https://www1.g-reiki.net/city.nagahama/reiki_honbun/k004RG00000822.html,2026-08-27
252042,滋賀県,近江八幡市,基準表が本文に無い,,,,,,,近江八幡市における高齢者の障害者控除対象者認定書の交付に関する要綱,2010-03-21,2021-05-19,https://www1.g-reiki.net/city.omihachiman/reiki_honbun/r389RG00000484.html,2026-08-27
252069,滋賀県,草津市,基準表が本文に無い,,,,,,,草津市障害者控除対象者認定書交付事務に関する要綱,2002-11-29,2022-04-01,https://www1.g-reiki.net/kusatsu/reiki_honbun/k007RG00000953.html,2026-08-27
252077,滋賀県,守山市,基準表が本文に無い,,,,,,,守山市障害者控除対象者認定書交付事務の処理に関する規則,2008-01-29,2016-03-29,https://www2.city.moriyama.lg.jp/reiki_int/reiki_honbun/i400RG00001575.html,2026-08-27
252085,滋賀県,栗東市,基準表が本文に無い,,,,,,,栗東市障害者控除対象者認定書交付事務の処理に関する要綱,2002-09-18,2016-04-01,http://www.city.ritto.lg.jp/reiki/reiki_honbun/k010RG00000705.html,2026-08-27
252093,滋賀県,甲賀市,基準表が本文に無い,,,,,,,甲賀市障害者控除対象者認定書の交付に関する要綱,2004-10-01,2011-04-01,https://reiki.city.koka.lg.jp/reiki_int/reiki_honbun/r055RG00000314.html,2026-08-27
252107,滋賀県,野洲市,基準表が本文に無い,,,,,,,野洲市障害者控除対象者認定事務の処理に関する要綱,2004-10-01,2025-06-24,https://www.city.yasu.lg.jp/section/reiki_int/reiki_honbun/r042RG00000463.html,2026-08-27
252115,滋賀県,湖南市,基準表が本文に無い,,,,,,,湖南市における６５歳以上の者への障害者控除対象者認定書の交付に関する要綱,2004-10-01,2016-04-01,https://www.city.shiga-konan.lg.jp/section/reiki_int/reiki_honbun/r041RG00000374.html,2026-08-27
252123,滋賀県,高島市,基準表が本文に無い,,,,,,,高島市障害者控除対象者認定書交付事務に関する要綱,2005-01-01,2019-08-28,https://www.city.takashima.lg.jp/section/reiki_int/reiki_honbun/r152RG00000471.html,2026-08-27
252131,滋賀県,東近江市,読めた(別表から),,,,,Ⅱa,B1,東近江市高齢者の障害者控除対象者認定書交付事務取扱要綱,2005-02-11,2021-03-29,https://www2.city.higashiomi.shiga.jp/reiki_int/reiki_honbun/r151RG00000541.html,2026-08-27
252140,滋賀県,米原市,基準表が本文に無い,,,,,,,米原市障がい者控除対象者認定要綱,2005-04-01,2022-03-18,https://www.city.maibara.lg.jp/reiki/reiki_honbun/r108RG00000625.html,2026-08-27
253839,滋賀県,日野町,読めた(本文の文章から),,,,,Ⅱa,B1,日野町における高齢者の障害者控除対象者認定書の交付に関する要綱,2002-12-26,2021-03-29,https://www1.g-reiki.net/town.shiga-hino/reiki_honbun/m038RG00000290.html,2026-08-27
254258,滋賀県,愛荘町,基準表が本文に無い,,,,,,,愛荘町高齢者の障害者控除対象者認定書交付事務に関する要綱,2006-02-13,2016-04-01,https://www.town.aisho.shiga.jp/section/reiki_honbun/r304RG00000371.html,2026-08-27
254410,滋賀県,豊郷町,基準表が本文に無い,,,,,,,豊郷町高齢者の障害者控除対象者認定書交付事務に関する要綱,2007-02-07,2019-02-28,https://www.town.toyosato.shiga.jp/reiki/act/110000605.html,2026-08-27
254428,滋賀県,甲良町,基準表が本文に無い,,,,,,,甲良町高齢者の障害者控除対象者認定書交付事務に関する要綱,2003-01-15,2025-02-28,https://www.kouratown.jp/section/reiki_int/reiki_honbun/k032RG00000402.html,2026-08-27
261009,京都府,京都市,読めた(表),,Ⅱa,,,Ⅲa,B1,,,,https://www.city.kyoto.lg.jp/hokenfukushi/page/0000317370.html,2026-08-27
262013,京都府,福知山市,基準表が本文に無い,,,,,,,会計管理者の職務権限に属する事務の一部の出納員への委任,1979-04-01,2026-01-07,https://www.city.fukuchiyama.lg.jp/reiki/reiki_honbun/k103RG00000070.html,2026-08-27
262064,京都府,亀岡市,基準表が本文に無い,,,,,,,亀岡市公印規則,1955-01-31,2025-03-27,http://www.city.kameoka.kyoto.jp/reiki_int/reiki_honbun/k108RG00000125.html,2026-08-27
262137,京都府,南丹市,読めた(別表から),,,,,Ⅱa,A1,南丹市障害者控除対象者の認定事務処理に関する要綱,2006-02-28,2024-03-29,https://www1.g-reiki.net/city.nantan/reiki_honbun/r279RG00000753.html,2026-08-27
262145,京都府,木津川市,読めた(本文の文章から),,Ⅱa,,,,,木津川市高齢者の所得税、地方税法上の障害者控除対象者認定書交付要綱,2007-03-12,2020-01-14,https://en3-jg.d1-law.com/kizugawa/d1w_reiki/H419902500044/H419902500044_j.html,2026-08-27
263672,京都府,南山城村,読めた(本文の文章から),,Ⅱa,,,,,南山城村高齢者の所得税、地方税法上の障害者控除対象者認定書交付要綱,2013-03-29,2022-09-08,https://www.vill.minamiyamashiro.lg.jp/reiki/reiki_honbun/k124RG00000532.html,2026-08-27
264075,京都府,京丹波町,基準表が本文に無い,,,,,,,京丹波町障害者控除対象者認定書交付事務の処理に関する要綱,2006-10-01,2006-10-01,https://www1.g-reiki.net/town.kyotamba/reiki_honbun/r244RG00000672.html,2026-08-27
271004,大阪府,大阪市,基準が読み取れない,,,,,,,,,,https://www.city.osaka.lg.jp/fukushi/page/0000058487.html,2026-08-27
271403,大阪府,堺市,判定ランクを公表していない,,,,,,,,,,https://www.city.sakai.lg.jp/kenko/fukushikaigo/shogaifukushi/shiori/shiori/zei-keigen.html,2026-08-27
272027,大阪府,岸和田市,基準表が本文に無い,,,,,,,岸和田市障害者控除対象者認定事務取扱要綱,2006-10-31,2021-03-26,https://en3-jg.d1-law.com/kishiwada/d1w_reiki/H418902500333/H418902500333_j.html,2026-08-27
272124,大阪府,八尾市,判定ランクを公表していない,,,,,,,,,,https://www.city.yao.osaka.jp/kenkou_fukushi/koureisha_hukushi/1007856/1007861.html,2026-08-27
272141,大阪府,富田林市,読めた(本文の文章から),,Ⅱa,,,Ⅲa,B1,富田林市高齢者に係る所得税法及び地方税法上の障害者控除対象者認定要綱,2006-09-01,2021-01-12,https://www1.g-reiki.net/tondabayashi/reiki_honbun/e700RG00001161.html,2026-08-27
272248,大阪府,摂津市,読めた,要支援2,Ⅱa,,要介護3,Ⅲa,,摂津市障害者控除対象者の認定に関する要綱,2019-03-15,2021-06-29,https://www.city.settsu.osaka.jp/section/reiki/reiki_honbun/v100RG00000910.html,2026-08-27
272272,大阪府,東大阪市,判定ランクを公表していない,,,,,,,,,,https://www.city.higashiosaka.lg.jp/0000004368.html,2026-08-27
273821,大阪府,河南町,読めた(本文の文章から),,Ⅰ,J1,,,,河南町高齢者の障害者控除対象者認定書交付事務に関する取扱い要綱,2006-07-25,2019-01-24,https://en3-jg.d1-law.com/kanan/d1w_reiki/H418902500077/H418902500077_j.html,2026-08-27
281000,兵庫県,神戸市,判定ランクを公表していない,,,,,,,,,,https://www.city.kobe.lg.jp/a39067/kenko/fukushi/koreshafukushi/am06/nenkin/kaigozeikoujyo.html,2026-08-27
282057,兵庫県,洲本市,基準表が本文に無い,,,,,,,洲本市組織規則,2006-02-11,2025-03-31,https://www.city.sumoto.lg.jp/reiki/H418902100002/H418902100002_j.html,2026-08-27
282197,兵庫県,三田市,読めた(文章),要支援1,,,,,,,,,https://www.city.sanda.lg.jp/soshiki/30/gyomu/kourei_fukushi_kaigo/107/81/27665.html,2026-08-27
282235,兵庫県,丹波市,読めた(本文の文章から),,Ⅰ,J1,,,,丹波市所得税法等の障害者認定に係る事務処理要綱,2005-12-28,2011-03-14,https://www.city.tamba.lg.jp/section/reiki/reiki_honbun/r394RG00000646.html,2026-08-27
282278,兵庫県,宍粟市,読めた,,Ⅲa,A1,,,,宍粟市介護保険の要介護者等に係る障害認定に関する規程,2005-04-01,2016-02-23,https://www1.g-reiki.net/city.shiso/reiki_honbun/r402RG00000661.html,2026-08-27
282286,兵庫県,加東市,基準表が本文に無い,,,,,,,加東市障害者控除対象者認定書交付に関する要綱,2006-10-10,2024-12-10,https://www.city.kato.lg.jp/section/reiki/reiki_honbun/r315RG00000630.html,2026-08-27
283657,兵庫県,多可町,基準表が本文に無い,,,,,,,多可町障害者控除対象者認定書交付に関する事務取扱要領,2006-12-28,2006-12-28,https://en3-jg.d1-law.com/taka/d1w_reiki/H418902500114/H418902500114_j.html,2026-08-27
283819,兵庫県,稲美町,基準表が本文に無い,,,,,,,稲美町障害者控除対象者認定書交付に関する取扱要領,2006-12-28,2006-12-28,https://www.town.hyogo-inami.lg.jp/reiki/reiki_honbun/k333RG00000466.html,2026-08-27
283827,兵庫県,播磨町,読めた(本文の文章から),,,,要介護4,Ⅳ,,播磨町障害者控除対象者認定書交付要綱,2023-05-01,2023-05-01,http://www.town.harima.lg.jp/d1w_reiki/H505902300052/H505902300052_j.html,2026-08-27
284432,兵庫県,福崎町,基準表が本文に無い,,,,,,,介護保険要介護認定者にかかる所得税及び住民税の障害者控除対象者認定実施要綱,2002-12-13,2021-12-01,https://en3-jg.d1-law.com/fukusaki/d1w_reiki/H414902500109/H414902500109_j.html,2026-08-27
284645,兵庫県,太子町,要確認(順序が逆転),,,B1,,Ⅰ,J1,障害者控除対象者認定書交付に関する要綱,2006-02-01,2006-02-01,https://www.town.hyogo-taishi.lg.jp/section/reiki/H418902500005/H418902500005_j.html,2026-08-27
285013,兵庫県,佐用町,読めた,,Ⅱa,A1,,Ⅲa,,佐用町障害者控除対象者認定に関する規則,2010-12-27,2019-05-01,http://www.town.sayo.lg.jp/reikisyuu/H422902100026/H422902100026_j.html,2026-08-27
285854,兵庫県,香美町,読めた,要介護1,,,要介護4,,,香美町介護保険要介護認定者に係る所得税及び住民税の障害者控除対象者認定実施要綱,2005-04-01,2005-04-01,https://www1.g-reiki.net/town.mikata-kami/reiki_honbun/r414RG00000443.html,2026-08-27
285862,兵庫県,新温泉町,読めた,要介護1,,,要介護4,,,新温泉町介護保険要介護認定者に係る所得税及び住民税の障害者控除対象者認定実施要綱,2007-03-30,2008-12-01,https://www1.g-reiki.net/town.shinonsen.hyogo/reiki_honbun/r407RG00000525.html,2026-08-27
292061,奈良県,桜井市,基準表が本文に無い,,,,,,,桜井市所得税法施行令及び地方税法施行令に定める障害者・特別障害者としての認定事務処理規程,2007-02-16,2024-02-05,https://en3-jg.d1-law.com/sakurai/d1w_reiki/H419902210001/H419902210001_j.html,2026-08-27
292087,奈良県,御所市,読めた,,Ⅱa,A1,,Ⅲa,,御所市老齢者の障害者控除対象者認定に関する要綱,2006-11-30,2022-03-31,http://www.city.gose.nara.jp/html/reiki_int/reiki_honbun/k409RG00000629.html,2026-08-27
293440,奈良県,斑鳩町,読めた,,,A1,,,B1,障害者控除対象者認定書交付に関する要綱,2006-03-31,2021-12-17,http://www.town.ikaruga.nara.jp/reiki_int/reiki_honbun/k417RG00000580.html,2026-08-27
293610,奈良県,川西町,基準表が本文に無い,,,,,,,行政手続における特定の個人を識別するための番号の利用等に関する法律に基づく個人番号の利用及び特定個人情報の提供に関する条例,2015-09-28,2025-12-22,https://www.town.nara-kawanishi.lg.jp/html/reiki_int/reiki_honbun/k419RG00000481.html,2026-08-27
293636,奈良県,田原本町,基準表が本文に無い,,,,,,,田原本町高齢者の所得税法施行令及び地方税法施行令に基づく障害者控除対象者としての認定に関する要綱,2024-11-29,2024-11-29,http://www.town.tawaramoto.nara.jp/05_others/reiki_int/reiki_honbun/e200RG00001126.html,2026-08-27
293857,奈良県,曽爾村,基準表が本文に無い,,,,,,,曾爾村所得税法施行令及び地方税法施行令に定める障害者・特別障害者の認定事務処理規程,2008-03-07,2008-03-07,http://www.vill.soni.nara.jp/div/soumu/htm/reiki_int/reiki_honbun/k426RG00000553.html,2026-08-27
293865,奈良県,御杖村,読めた,,Ⅱa,A1,,Ⅲa,,御杖村障害者控除対象者認定書交付事務に関する要綱,2025-01-01,2025-01-01,https://lg.joureikun.jp/mitsue_vill/reiki/act/110002031.html,2026-08-27
302023,和歌山県,海南市,基準表が本文に無い,,,,,,,海南市告示で定める申請書等の性別記載の特例に関する告示,2022-06-01,2022-06-01,https://www.city.kainan.lg.jp/section/reiki/reiki_honbun/r219RG00000743.html,2026-08-27
302031,和歌山県,橋本市,読めた,,Ⅱa,A1,,Ⅳ,,橋本市における高齢者に係る障害者控除対象者認定書の交付に関する要綱,2007-11-30,2021-09-21,http://www.city.hashimoto.lg.jp/section/reiki_honbun/r282RG00000982.html,2026-08-27
302040,和歌山県,有田市,読めた,,,A1,,,B1,有田市介護保険要介護等認定者に対する障害者控除対象者認定書交付に関する要綱,2008-08-29,2025-03-31,http://www2.city.arida.lg.jp/e_reiki/H420902200025/H420902200025_j.html,2026-08-27
302082,和歌山県,紀の川市,読めた(本文の文章から),,Ⅱa,A1,,Ⅳ,B1,紀の川市要介護・要支援認定者障害者控除対象者認定取扱要綱,2006-11-17,2021-07-02,https://www1.g-reiki.net/kinokawa/reiki_honbun/r252RG00000617.html,2026-08-27
