募集回,募集区分,区市町,住宅名,募集戸数,建築年度,エレベーター,入居人数
令和4年5月,居室内で病死等があった住宅,足立区,足立中央本町五丁目,1,昭和51,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,足立入谷町,1,昭和54,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,足立加賀二丁目,1,昭和59,有,３人以上
令和4年5月,居室内で病死等があった住宅,足立区,足立加賀二丁目,1,昭和59,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,足立区,青井三丁目第２,1,昭和53,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,青井三丁目第３,1,昭和57,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,足立区,青井四丁目,1,昭和55,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,足立区,青井四丁目,1,平成8,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,青井四丁目第２,1,昭和61,有,３人以上
令和4年5月,居室内で病死等があった住宅,足立区,鹿浜五丁目,1,昭和46,有,２人以上
令和4年11月,居室内で病死等があった住宅,三鷹市,三鷹深大寺第２,1,昭和58,有,２人以上
令和4年11月,居室内で病死等があった住宅,三鷹市,上連雀六丁目,1,昭和61,無,２人以上
令和4年11月,世帯向（一般募集住宅）,三鷹市,下連雀七丁目第２,1,昭和54,有,３人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,三鷹市,下連雀七丁目第２,1,昭和54,有,３人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,三鷹市,井の頭三丁目,1,昭和52,無,２人以上
令和4年11月,世帯向（一般募集住宅）,三鷹市,井口五丁目,1,昭和62,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,世田谷区,桜丘二丁目第２,1,昭和52,無,２人以上
令和4年11月,世帯向（一般募集住宅）,八王子市,多摩ニュータウン別所一丁目,1,平成6,有,２人以上
令和4年11月,居室内で病死等があった住宅,八王子市,多摩ニュータウン松が谷,1,昭和55,無,２人以上
令和4年11月,居室内で病死等があった住宅,八王子市,大和田七丁目,1,昭和51,有,３人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,八王子市,長沼町,2,昭和63,無,２人以上
令和4年11月,居室内で病死等があった住宅,品川区,八潮五丁目,1,昭和56,有,３人以上
令和4年11月,居室内で病死等があった住宅,品川区,八潮五丁目,1,昭和56,有,３人以上
令和4年11月,居室内で病死等があった住宅,品川区,東品川第５,1,昭和45,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,国分寺市,国分寺内藤一丁目第３,1,平成4,無,２人以上
令和4年11月,世帯向（一般募集住宅）,国分寺市,富士本三丁目,2,昭和51,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,国分寺市,戸倉一丁目第２,1,昭和63,無,２人以上
令和4年11月,居室内で病死等があった住宅,墨田区,文花一丁目,1,昭和41,有,２人以上
令和4年11月,居室内で病死等があった住宅,墨田区,白鬚東,1,昭和54,有,３人以上
令和4年11月,居室内で病死等があった住宅,墨田区,白鬚東,1,昭和52,有,２人以上
令和4年11月,居室内で病死等があった住宅,墨田区,立花六丁目,1,昭和51,有,２人以上
