募集回,募集区分,区市町,住宅名,募集戸数,建築年度,エレベーター,入居人数
令和5年11月,居室内で病死等があった住宅,小平市,津田町三丁目,1,昭和57,無,２人以上
令和5年11月,居室内で病死等があった住宅,小平市,津田町三丁目,1,昭和60,有,２人以上
令和5年11月,居室内で病死等があった住宅,小平市,津田町三丁目,1,昭和59,有,２人以上
令和5年11月,居室内で病死等があった住宅,小平市,津田町三丁目,1,昭和60,有,２人以上
令和5年11月,世帯向（一般募集住宅）,小金井市,小金井前原町三丁目,1,昭和59,無,２人以上
令和5年11月,居室内で病死等があった住宅,府中市,天神町二丁目,1,昭和58,無,２人以上
令和5年11月,居室内で病死等があった住宅,府中市,府中北山町一丁目,1,昭和63,無,２人以上
令和5年11月,居室内で病死等があった住宅,府中市,府中北山町四丁目第２,1,昭和63,無,２人以上
令和5年11月,居室内で病死等があった住宅,府中市,府中新町三丁目,1,昭和61,無,２人以上
令和5年11月,居室内で病死等があった住宅,府中市,府中新町三丁目,1,昭和61,無,２人以上
令和5年11月,居室内で病死等があった住宅,府中市,府中新町三丁目,1,昭和62,無,２人以上
令和5年11月,居室内で病死等があった住宅,府中市,府中晴見町二丁目,1,昭和57,有,２人以上
令和5年11月,居室内で病死等があった住宅,府中市,府中武蔵台二丁目第２,1,平成4,無,２人以上
令和5年11月,居室内で病死等があった住宅,日野市,日野万願寺,1,平成4,無,２人以上
令和5年11月,居室内で病死等があった住宅,日野市,日野大坂上三丁目,1,平成3,無,２人以上
令和5年11月,居室内で病死等があった住宅,日野市,日野平山四丁目,1,平成7,有,２人以上
令和5年11月,世帯向（一般募集住宅）,日野市,落川,2,昭和60,無,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,中神第２,1,昭和62,有,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成14,有,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成10,有,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成10,有,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成11,有,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成7,有,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成7,有,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,昭島玉川町,1,昭和52,無,２人以上
令和5年11月,居室内で病死等があった住宅,昭島市,松原町一丁目,1,昭和61,無,２人以上
令和5年11月,世帯向（一般募集住宅）,昭島市,美堀町二丁目,5,平成10,無,２人以上
令和5年11月,若年夫婦・子育て世帯向（定期使用住宅）,昭島市,美堀町四丁目,2,平成6,有,２人以上
令和5年11月,居室内で病死等があった住宅,東大和市,東京街道,1,平成11,有,２人以上
令和5年11月,居室内で病死等があった住宅,東大和市,東京街道,1,平成17,有,３人以上
令和5年11月,居室内で病死等があった住宅,東大和市,東京街道,1,平成17,有,３人以上
令和5年11月,居室内で病死等があった住宅,東大和市,東京街道,1,平成17,有,３人以上
令和5年11月,居室内で病死等があった住宅,東大和市,東京街道,1,平成17,有,４人以上
令和5年11月,居室内で病死等があった住宅,東大和市,東京街道,1,平成17,有,４人以上
令和5年11月,居室内で病死等があった住宅,東大和市,東大和向原,1,平成6,有,２人以上
令和5年11月,居室内で病死等があった住宅,東大和市,東大和向原,1,平成9,有,２人以上
令和5年11月,世帯向（一般募集住宅）,東大和市,狭山四丁目,1,昭和62,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,久米川一丁目,1,平成4,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,多摩湖町一丁目第２,1,平成4,有,２人以上
令和5年11月,世帯向（一般募集住宅）,東村山市,東村山富士見町,1,昭和50,有,２人以上
令和5年11月,世帯向（一般募集住宅）,東村山市,東村山富士見町二丁目,2,平成5,有,２人以上
令和5年11月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,東村山富士見町五丁目,1,昭和58,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山富士見町五丁目,1,昭和58,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成13,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成14,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成5,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成9,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成5,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山本町,1,平成8,有,２人以上
令和5年11月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,東村山栄町三丁目,1,昭和63,有,２人以上
令和5年11月,世帯向（一般募集住宅）,東村山市,東村山栄町二丁目,1,昭和61,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山栄町二丁目第３,1,昭和62,無,２人以上
令和5年11月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,東村山萩山町一丁目第２,1,平成10,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山萩山町三丁目,1,昭和58,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山萩山町三丁目,1,昭和58,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山萩山町三丁目,1,昭和58,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山萩山町三丁目,1,昭和58,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山萩山町二丁目,1,昭和56,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,東村山萩山町二丁目,1,昭和56,無,２人以上
令和5年11月,世帯向（一般募集住宅）,東村山市,東村山諏訪町一丁目第２,2,平成5,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,秋津町五丁目,1,昭和56,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,美住町一丁目,1,昭和60,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,美住町一丁目第２,1,平成11,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,美住町一丁目第２,1,昭和61,無,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,美住町一丁目第３,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,美住町一丁目第３,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,美住町一丁目第３,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,東村山市,野口町二丁目,1,昭和63,無,２人以上
令和5年11月,居室内で病死等があった住宅,板橋区,前野町一丁目,1,昭和45,有,２人以上
令和5年11月,居室内で病死等があった住宅,板橋区,前野町三丁目,1,昭和46,無,２人以上
令和5年11月,世帯向（一般募集住宅）,板橋区,前野町六丁目第３,1,昭和58,無,３人以上
令和5年11月,世帯向（一般募集住宅）,板橋区,前野町四丁目第３,2,平成4,無,３人以上
令和5年11月,居室内で病死等があった住宅,板橋区,坂下三丁目第２,1,昭和49,有,２人以上
令和5年11月,居室内で病死等があった住宅,板橋区,坂下三丁目第２,1,昭和49,有,２人以上
令和5年11月,居室内で病死等があった住宅,板橋区,坂下三丁目第２,1,昭和49,有,２人以上
令和5年11月,居室内で病死等があった住宅,板橋区,成増五丁目第２,1,平成19,有,３人以上
令和5年11月,居室内で病死等があった住宅,板橋区,成増五丁目第２,1,平成22,有,３人以上
令和5年11月,居室内で病死等があった住宅,板橋区,成増五丁目第２,1,平成22,有,４人以上
令和5年11月,居室内で病死等があった住宅,武蔵野市,吉祥寺北町四丁目,1,昭和51,無,２人以上
令和5年11月,世帯向（一般募集住宅）,武蔵野市,吉祥寺北町四丁目第２,2,昭和52,無,２人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,南篠崎町五丁目,1,昭和63,有,２人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,小松川,1,昭和55,有,３人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,小松川一丁目第２,1,昭和62,有,２人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,平井一丁目,1,昭和43,有,２人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,平井七丁目第３,1,昭和60,有,３人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,平井七丁目第３,1,昭和61,有,３人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,平井四丁目第２,1,昭和45,有,２人以上
令和5年11月,世帯向（一般募集住宅）,江戸川区,江戸川三丁目第３,2,昭和62,有,３人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,江戸川二丁目,1,平成17,有,２人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,江戸川五丁目,1,昭和44,有,２人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,江戸川小島町二丁目,1,昭和47,有,２人以上
令和5年11月,居室内で病死等があった住宅,江戸川区,清新町二丁目第２,1,昭和62,有,３人以上
令和5年11月,居室内で病死等があった住宅,江東区,北砂一丁目第３,1,昭和47,有,２人以上
令和5年11月,居室内で病死等があった住宅,江東区,塩浜一丁目,1,昭和45,有,２人以上
令和5年11月,居室内で病死等があった住宅,江東区,東砂七丁目,1,昭和50,有,２人以上
令和5年11月,居室内で病死等があった住宅,江東区,東雲二丁目,1,昭和50,有,２人以上
令和5年11月,居室内で病死等があった住宅,江東区,東雲二丁目,1,昭和50,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,中清戸四丁目,1,平成10,有,２人以上
令和5年11月,世帯向（一般募集住宅）,清瀬市,松山一丁目,3,昭和57,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,松山一丁目,1,昭和57,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,松山三丁目,1,昭和53,無,２人以上
令和5年11月,世帯向（一般募集住宅）,清瀬市,松山二丁目,1,昭和55,無,２人以上
令和5年11月,世帯向（一般募集住宅）,清瀬市,松山二丁目,1,昭和55,無,２人以上
令和5年11月,世帯向（一般募集住宅）,清瀬市,清瀬元町二丁目,3,昭和55,無,２人以上
令和5年11月,世帯向（一般募集住宅）,清瀬市,清瀬元町二丁目第２,1,昭和55,無,２人以上
令和5年11月,世帯向（一般募集住宅）,清瀬市,清瀬竹丘一丁目,1,平成8,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,昭和60,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,平成3,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,平成3,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,平成3,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,昭和63,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,昭和63,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,昭和63,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,平成3,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,平成3,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,昭和63,無,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,平成6,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,平成6,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,昭和60,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬野塩,1,平成11,有,２人以上
令和5年11月,居室内で病死等があった住宅,清瀬市,清瀬野塩,1,平成13,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,八幡平,1,昭和63,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,山崎町第２,1,昭和63,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,成瀬,1,昭和53,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,成瀬第２,1,昭和57,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,木曽森野第１,1,昭和62,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,木曽森野第１,1,平成3,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,木曽森野第１,1,平成3,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,木曽森野第１,1,昭和62,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,木曽森野第１,1,昭和62,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,木曽森野第１,1,平成4,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,木曽森野第１,1,平成3,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,森野五丁目,1,平成4,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,武蔵岡,1,昭和53,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,武蔵岡,1,昭和53,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,武蔵岡,1,昭和54,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,武蔵岡,1,昭和54,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,武蔵岡,1,昭和54,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,武蔵岡,1,平成2,有,２人以上
令和5年11月,世帯向（一般募集住宅）,町田市,玉川学園三丁目,1,平成5,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,町田中町四丁目,1,昭和54,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,町田金森一丁目,1,平成3,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,町田金森第２,1,昭和52,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,金森第１０,1,平成7,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,金森第３,1,昭和54,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,金森第５,1,昭和59,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,金森第５,1,昭和59,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,金森第６,1,平成6,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,金森第６,1,平成7,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,金森第６,1,昭和61,無,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,高ケ坂,1,平成8,有,２人以上
令和5年11月,居室内で病死等があった住宅,町田市,高ケ坂第２,1,平成12,有,２人以上
令和5年11月,居室内で病死等があった住宅,福生市,熊川,1,平成3,有,２人以上
令和5年11月,居室内で病死等があった住宅,福生市,熊川第２,1,平成3,無,２人以上
令和5年11月,居室内で病死等があった住宅,稲城市,多摩ニュータウン長峰三丁目,1,平成5,有,２人以上
令和5年11月,居室内で病死等があった住宅,立川市,上砂町一丁目,1,平成11,有,２人以上
令和5年11月,居室内で病死等があった住宅,立川市,立川一番町五丁目,1,平成28,有,２人以上
令和5年11月,居室内で病死等があった住宅,立川市,立川富士見町六丁目,1,昭和51,有,２人以上
令和5年11月,世帯向（一般募集住宅）,立川市,立川栄町六丁目,3,昭和59,無,２人以上
令和5年11月,世帯向（一般募集住宅）,立川市,立川錦町二丁目,1,昭和57,無,３人以上
令和5年11月,世帯向（一般募集住宅）,立川市,立川錦町二丁目第２,1,昭和57,無,３人以上
令和5年11月,居室内で病死等があった住宅,練馬区,光が丘第２,1,昭和56,有,３人以上
令和5年11月,居室内で病死等があった住宅,練馬区,光が丘第２,1,昭和56,有,３人以上
令和5年11月,居室内で病死等があった住宅,練馬区,氷川台四丁目,1,昭和59,無,３人以上
令和5年11月,世帯向（一般募集住宅）,練馬区,練馬関町一丁目,2,昭和61,無,２人以上
令和5年11月,若年夫婦・子育て世帯向（定期使用住宅）,練馬区,豊玉中一丁目第３,1,平成4,無,３人以上
令和5年11月,世帯向（一般募集住宅）,練馬区,貫井四丁目,1,昭和55,無,２人以上
令和5年11月,居室内で病死等があった住宅,荒川区,南千住八丁目第３,1,昭和63,有,２人以上
令和5年11月,若年夫婦・子育て世帯向（定期使用住宅）,葛飾区,お花茶屋三丁目,1,昭和57,有,２人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,亀有一丁目,2,昭和52,無,２人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,亀有一丁目第３,1,昭和55,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,亀有二丁目第７,10,昭和59,無,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,亀有二丁目第８,2,昭和63,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,南水元一丁目第２,7,昭和60,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,南水元一丁目第２,1,昭和61,無,３人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,南水元一丁目第２,1,昭和60,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,南水元一丁目第５,1,平成9,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,堀切八丁目第２,1,昭和57,無,３人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,奥戸二丁目,1,昭和43,無,２人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,小菅三丁目,1,昭和53,有,２人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,新宿六丁目,10,平成17,有,３人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,新宿六丁目,1,平成10,有,３人以上
令和5年11月,若年夫婦・子育て世帯向（定期使用住宅）,葛飾区,東四つ木四丁目,1,平成4,有,２人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,東堀切三丁目,1,昭和59,無,３人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,東堀切三丁目,1,昭和59,有,２人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,東堀切二丁目第２,1,昭和62,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,東堀切二丁目第３,2,平成20,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,東金町五丁目,3,昭和53,有,２人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,東金町四丁目,1,昭和61,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,細田二丁目,2,昭和59,無,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,葛飾新宿一丁目,1,昭和55,無,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,西亀有三丁目,1,昭和57,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,西亀有三丁目第２,1,昭和58,無,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,西亀有二丁目第１１,1,昭和59,無,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,西亀有二丁目第４,2,昭和56,無,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,西亀有二丁目第５,1,昭和56,無,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,西亀有二丁目第８,1,昭和58,無,３人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,西水元五丁目,1,昭和55,有,３人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,金町四丁目,2,昭和62,有,３人以上
令和5年11月,若年夫婦・子育て世帯向（定期使用住宅）,葛飾区,金町四丁目,1,昭和62,有,２人以上
令和5年11月,世帯向（一般募集住宅）,葛飾区,青戸三丁目,1,昭和51,無,２人以上
令和5年11月,居室内で病死等があった住宅,葛飾区,高砂四丁目,1,平成21,有,２人以上
令和5年11月,世帯向（一般募集住宅）,調布市,上石原一丁目,1,昭和56,無,３人以上
令和5年11月,居室内で病死等があった住宅,調布市,染地三丁目,1,昭和52,無,２人以上
令和5年11月,居室内で病死等があった住宅,調布市,染地三丁目,1,昭和52,無,２人以上
令和5年11月,居室内で病死等があった住宅,調布市,染地三丁目,1,昭和52,無,２人以上
令和5年11月,居室内で病死等があった住宅,調布市,調布富士見町三丁目第３,1,昭和57,無,２人以上
令和5年11月,世帯向（一般募集住宅）,調布市,調布富士見町四丁目,2,昭和55,無,２人以上
令和5年11月,世帯向（一般募集住宅）,足立区,五反野北町,1,昭和62,有,３人以上
令和5年11月,世帯向（一般募集住宅）,足立区,伊興町,1,昭和44,無,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,六ツ木町,1,昭和44,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,六月一丁目第３,1,昭和62,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,六月二丁目第２,1,昭和53,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,島根二丁目第２,1,平成3,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,島根四丁目,1,昭和54,有,３人以上
令和5年11月,世帯向（一般募集住宅）,足立区,島根四丁目第２,1,昭和56,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,弘道一丁目,1,昭和61,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,弘道一丁目第３,1,平成3,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,弘道二丁目第２,1,昭和57,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,弘道二丁目第２,1,昭和57,有,３人以上
令和5年11月,世帯向（一般募集住宅）,足立区,扇一丁目第２,1,昭和60,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,扇一丁目第３,1,平成11,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,扇三丁目第２,1,平成22,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,新田二丁目第２,1,平成5,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,東和四丁目第３,1,昭和55,無,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,竹の塚七丁目第２,1,昭和50,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,第１保木間,1,昭和40,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,舎人町,1,昭和48,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,無,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,無,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,無,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,無,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,西保木間三丁目,1,昭和43,無,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,西保木間三丁目第２,1,昭和52,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,西保木間二丁目第２,1,昭和46,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,西保木間二丁目第２,1,昭和46,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,西保木間四丁目,1,昭和43,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,西新井六丁目,1,昭和48,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,足立中央本町一丁目,1,平成4,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,足立入谷町,1,昭和54,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,足立平野三丁目,1,昭和46,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,足立平野三丁目,1,昭和46,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,足立平野三丁目,1,昭和46,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,青井三丁目,1,昭和51,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,青井三丁目第３,1,昭和57,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,青井四丁目,1,昭和55,有,２人以上
令和5年11月,居室内で病死等があった住宅,足立区,青井四丁目,1,昭和55,有,３人以上
令和5年11月,居室内で病死等があった住宅,足立区,青井四丁目第２,1,昭和61,有,３人以上
令和6年2月,居室内で病死等があった住宅,小平市,花小金井四丁目,1,平成11,,２人以上
令和6年2月,居室内で病死等があった住宅,東大和市,東大和清水二丁目,1,昭和63,,２人以上
令和6年2月,居室内で病死等があった住宅,清瀬市,中清戸四丁目,1,平成13,,２人以上
令和6年2月,居室内で病死等があった住宅,清瀬市,清瀬野塩,1,平成11,有,２人
令和6年2月,居室内で病死等があった住宅,瑞穂町,瑞穂,1,平成10,,２人以上
令和6年2月,居室内で病死等があった住宅,町田市,金森第８,1,平成5,,２人以上
令和6年2月,居室内で病死等があった住宅,足立区,六ツ木町,1,昭和44,有,１人
令和6年2月,居室内で病死等があった住宅,足立区,北鹿浜第２,1,昭和44,無,１人
令和6年2月,居室内で病死等があった住宅,足立区,宮城第３,1,昭和44,有,１人
令和6年5月,世帯向（一般募集住宅）,三鷹市,中原四丁目第２,2,昭和48,有,２人以上
令和6年5月,世帯向（一般募集住宅）,三鷹市,中原四丁目第２,2,昭和48,無,２人以上
令和6年5月,若年夫婦・子育て世帯向（定期使用住宅）,八王子市,多摩ニュータウン別所,2,昭和63,有,２人以上
令和6年5月,居室内で病死等があった住宅,国立市,青柳南,1,昭和44,有,単身
令和6年5月,世帯向（一般募集住宅）,小平市,大沼町一丁目,1,平成3,有,２人以上
令和6年5月,若年夫婦・子育て世帯向（定期使用住宅）,府中市,府中南町四丁目,1,平成24,有,３人以上
令和6年5月,世帯向（一般募集住宅）,府中市,府中新町一丁目,1,昭和58,無,２人以上
令和6年5月,世帯向（一般募集住宅）,府中市,府中晴見町二丁目,1,昭和55,無,２人以上
令和6年5月,若年夫婦・子育て世帯向（定期使用住宅）,府中市,府中晴見町二丁目,3,昭和55,無,２人以上
令和6年5月,世帯向（一般募集住宅）,府中市,府中栄町一丁目,1,昭和52,無,２人以上
令和6年5月,世帯向（一般募集住宅）,東大和市,狭山四丁目,1,昭和62,無,２人以上
令和6年5月,世帯向（一般募集住宅）,東村山市,東村山栄町二丁目,1,昭和61,有,２人以上
令和6年5月,世帯向（一般募集住宅）,板橋区,相生町第２,2,昭和60,無,３人以上
令和6年5月,世帯向（一般募集住宅）,武蔵野市,境五丁目,1,昭和57,無,２人以上
令和6年5月,世帯向（一般募集住宅）,江戸川区,小松川,1,昭和55,有,２人以上
令和6年5月,居室内で病死等があった住宅,江戸川区,小松川,1,昭和55,有,１人以上
令和6年5月,世帯向（一般募集住宅）,江戸川区,平井七丁目第５,1,昭和48,無,２人以上
令和6年5月,若年夫婦・子育て世帯向（定期使用住宅）,江東区,亀戸九丁目,3,昭和53,有,２人以上
令和6年5月,世帯向（一般募集住宅）,江東区,大島九丁目,1,昭和62,有,３人以上
令和6年5月,若年夫婦・子育て世帯向（定期使用住宅）,江東区,東砂八丁目,1,平成26,有,４人以上
令和6年5月,世帯向（一般募集住宅）,江東区,東雲一丁目,1,昭和44,有,２人以上
令和6年5月,若年夫婦・子育て世帯向（定期使用住宅）,江東区,東雲二丁目第２,3,平成4,有,２人以上
令和6年5月,世帯向（一般募集住宅）,江東区,枝川一丁目,5,昭和47,有,２人以上
令和6年5月,世帯向（一般募集住宅）,清瀬市,清瀬元町二丁目,1,昭和55,無,２人以上
令和6年5月,世帯向（一般募集住宅）,清瀬市,清瀬竹丘三丁目,1,昭和51,有,２人以上
